group,n,actual_risk_rate,predicted_risk_rate,true_positive_rate,false_positive_rate,precision
M,4489,0.5335263978614391,0.47538427266651817,0.7352818371607516,0.1781279847182426,0.8252108716026242
F,3660,0.5210382513661203,0.4314207650273224,0.6811746198217095,0.15972618368511124,0.8226725775807473
