attribute,demographic_parity_gap,equal_opportunity_gap,false_positive_rate_gap
region,0.15528486476117392,0.1551440966842268,0.12660801564027369
age_band,0.18172285140296268,0.11553920104282644,0.0557843137254902
imd_band,0.1709665324808588,0.079141727046799,0.08947421333065245
gender,0.043963507639195765,0.05410721733904211,0.018401801033131354
disability,0.07539125900699128,0.01362574292889962,0.01835541772389815
