group,n,actual_risk_rate,predicted_risk_rate,true_positive_rate,false_positive_rate,precision
0-35,5752,0.5566759388038943,0.48331015299026425,0.7242348532167395,0.1807843137254902,0.8341726618705037
35-55,2334,0.461439588688946,0.3916023993144816,0.6750232126276694,0.14876690533015116,0.7954048140043763
55<=,63,0.36507936507936506,0.30158730158730157,0.6086956521739131,0.125,0.7368421052631579
