accuracy,precision,recall,f1,auc,fit_seconds,model,early_days,feature_set
0.6948918545789231,0.7268186075554168,0.6763509587449158,0.7006772009029345,0.7674592490213892,0.5571012999862432,MLP,7,all_features
0.6892161374443934,0.7189239332096475,0.6754793724578734,0.6965248651887358,0.7667089445657526,0.8122328000608832,HistGradientBoosting,7,all_features
0.6970394232244209,0.7458933959101576,0.6464264962231261,0.6926070038910506,0.7649156824536679,0.07718670018948615,LogisticRegression,7,all_features
0.6896763307255714,0.7492096944151738,0.6196978500871586,0.6783272380346637,0.7644501943813985,0.2826670999638736,ExtraTrees,7,all_features
0.6852277956741831,0.7278688524590164,0.6449738524113887,0.6839186691312384,0.7627847290453416,0.42641859990544617,RandomForest,7,all_features
0.7177481208774352,0.7638339920948617,0.6737361998837885,0.715961716579191,0.7964041565724367,0.360869700089097,HistGradientBoosting,14,all_features
0.7126859947844761,0.7396883593033914,0.7033701336432306,0.721072226358898,0.793652819922965,0.9531749000307173,MLP,14,all_features
0.714833563429974,0.774160027710426,0.6493317838466008,0.7062727129088323,0.7922844455036212,0.4105248001869768,RandomForest,14,all_features
0.7102316306181929,0.7843280849505676,0.6223126089482859,0.6939899562611372,0.7914442064863543,0.3015521999914199,ExtraTrees,14,all_features
0.7113054149409419,0.7725366876310272,0.6423590935502614,0.7014593908629442,0.787909471350956,0.08303379989229143,LogisticRegression,14,all_features
0.7582451296211076,0.8075148319050758,0.7117954677513074,0.756639901173564,0.8463047611781814,0.5315800998359919,HistGradientBoosting,28,all_features
0.7616198803497469,0.8239533287577213,0.6975595583962813,0.7555066079295154,0.8448828509095523,0.4346722001209855,RandomForest,28,all_features
0.7564043564963951,0.832258064516129,0.674607786170831,0.745186136071887,0.8437723361099587,0.3259501999709755,ExtraTrees,28,all_features
0.7577849363399294,0.806112389089714,0.7126670540383498,0.756515034695451,0.8420849654528537,0.9471223999280483,MLP,28,all_features
0.736155852124559,0.7891202149093351,0.6827425915165601,0.7320872274143302,0.8203727322563594,0.08178149978630245,LogisticRegression,28,all_features
0.8038042644577389,0.8494345718901454,0.7638001162115049,0.8043445005354138,0.8872938185261232,0.4551110998727381,HistGradientBoosting,56,all_features
0.8016566958122412,0.8533377178559685,0.7539221382916909,0.8005552984729292,0.8862501527235207,0.44290099991485476,RandomForest,56,all_features
0.8041110599785243,0.8367029548989113,0.7815223707147008,0.8081718491813129,0.885122831255192,1.351249699946493,MLP,56,all_features
0.80273048013499,0.8686730506155951,0.7379430563625798,0.7979893182532203,0.8843108236646204,0.3221992999315262,ExtraTrees,56,all_features
0.7800276115968707,0.8242894056847545,0.7414294015107495,0.7806668706026307,0.8663613014555518,0.07406640006229281,LogisticRegression,56,all_features
